Quarter,Country,Ship,Gear,SweepLngt,HaulNo,Year,TotalNo,Sci_name,Month,Day,DayNight,ShootLat,ShootLong,Depth,HaulVal,DataType,GRIDID
1,GFR,WAH3  ,GOV   ,-9,76,2000,130,Agonus cataphractus,2,25,D ,54.05,8.05,25,V   ,C ,331
1,NOR,MIC   ,GOV   ,-9,24,2000,2,Agonus cataphractus,1,28,N ,58.1667,2.7833,74,V   ,C ,592
1,NOR,MIC   ,GOV   ,-9,34,2000,2,Agonus cataphractus,2,3,D ,56.95,4.1,62,V   ,C ,493
1,GFR,WAH3  ,GOV   ,-9,90,2000,2,Agonus cataphractus,3,1,D ,55.1167,7.25,30,V   ,C ,397
1,NOR,MIC   ,GOV   ,-9,42,2000,2,Agonus cataphractus,2,5,D ,56.5833,7.1,37,V   ,C ,499
1,FRA,THA2  ,GOV   ,50,32,2000,2,Agonus cataphractus,2,16,D ,53.8833,6.9333,19,V   ,C ,294
1,FRA,THA2  ,GOV   ,50,30,2000,36,Agonus cataphractus,2,16,D ,54.0333,7.8167,32,V   ,C ,330
1,GFR,WAH3  ,GOV   ,-9,7,2000,2,Agonus cataphractus,1,30,D ,58.7833,1.7333,109,V   ,C ,624
1,SWE,ARG   ,GOV   ,-9,20,2000,8,Agonus cataphractus,2,1,D ,57.7333,10.1333,82,V   ,C ,573
1,GFR,WAH3  ,GOV   ,-9,79,2000,4,Agonus cataphractus,2,26,D ,54.25,5.6333,41,V   ,C ,326
1,GFR,WAH3  ,GOV   ,-9,5,2000,8,Agonus cataphractus,1,30,D ,58.25,2.6167,74,V   ,C ,592
1,GFR,WAH3  ,GOV   ,-9,78,2000,4,Agonus cataphractus,2,26,D ,54.2167,6.7333,38,V   ,C ,328
1,FRA,THA2  ,GOV   ,50,20,2000,16,Agonus cataphractus,2,13,D ,55.4667,7.15,24,V   ,C ,397
1,GFR,WAH3  ,GOV   ,-9,18,2000,24,Agonus cataphractus,2,4,D ,58.8833,-2.4833,80,V   ,C ,616
1,FRA,THA2  ,GOV   ,50,64,2000,24,Agonus cataphractus,3,2,D ,51.95,1.8333,26,V   ,C ,148
1,GFR,WAH3  ,GOV   ,-9,77,2000,6,Agonus cataphractus,2,26,D ,54.3333,7.4333,29,V   ,C ,329
1,FRA,THA2  ,GOV   ,50,63,2000,4,Agonus cataphractus,3,2,D ,52.3667,2.0667,33,V   ,C ,183
1,SCO,SCO3  ,GOV   ,60,3,2000,2,Agonus cataphractus,1,26,D ,56.4,-2.1167,50,V   ,C ,446
1,FRA,THA2  ,GOV   ,50,62,2000,2,Agonus cataphractus,3,2,D ,52.5333,1.9333,23,V   ,C ,216
1,SCO,SCO3  ,GOV   ,60,16,2000,2,Agonus cataphractus,1,31,D ,57.3167,4.3,65,V   ,C ,527
1,FRA,THA2  ,GOV   ,50,49,2000,3,Agonus cataphractus,2,23,D ,54.4333,0.3,60,V   ,C ,315
1,FRA,THA2  ,GOV   ,50,31,2000,64,Agonus cataphractus,2,16,D ,53.95,7.45,21,V   ,C ,295
1,GFR,WAH3  ,GOV   ,-9,16,2000,2,Agonus cataphractus,2,3,D ,58.1667,-3.1667,68,V   ,C ,580
1,GFR,WAH3  ,GOV   ,-9,87,2000,2,Agonus cataphractus,2,29,D ,55.1333,6.4333,47,V   ,C ,395
1,NOR,MIC   ,GOV   ,-9,33,2000,2,Agonus cataphractus,2,3,D ,56.7167,3.5333,61,V   ,C ,492
1,SWE,ARG   ,GOV   ,-9,5,2000,10,Agonus cataphractus,1,25,D ,57.4333,8.5833,54,V   ,C ,536
1,FRA,THA2  ,GOV   ,50,22,2000,10,Agonus cataphractus,2,14,D ,54.9167,6.7833,27,V   ,C ,362
1,FRA,THA2  ,GOV   ,50,48,2000,2,Agonus cataphractus,2,22,D ,53.6,3.8333,31,V   ,C ,288
1,SWE,ARG   ,GOV   ,-9,26,2000,4,Agonus cataphractus,2,2,D ,56.2833,10.9833,21,V   ,C ,472
1,FRA,THA2  ,GOV   ,50,23,2000,4,Agonus cataphractus,2,14,D ,54.9,7.1,20,V   ,C ,363
1,FRA,THA2  ,GOV   ,50,43,2000,2,Agonus cataphractus,2,19,D ,53.4833,0.7167,12,V   ,C ,248
1,SWE,ARG   ,GOV   ,-9,40,2000,2,Agonus cataphractus,2,9,D ,58.1,10.75,221,V   ,C ,608
1,FRA,THA2  ,GOV   ,50,35,2000,2,Agonus cataphractus,2,17,D ,53.95,5.1333,33,V   ,C ,291
1,SWE,ARG   ,GOV   ,-9,32,2000,2,Agonus cataphractus,2,7,D ,57.4167,11.3167,39,V   ,C ,541
1,FRA,THA2  ,GOV   ,50,24,2000,12,Agonus cataphractus,2,14,D ,54.45,6.7167,31,V   ,C ,328
1,FRA,THA2  ,GOV   ,50,25,2000,2,Agonus cataphractus,2,15,D ,54.7167,5.2,37,V   ,C ,359
1,SWE,ARG   ,GOV   ,-9,27,2000,2,Agonus cataphractus,2,2,D ,56.35,11.9167,32,V   ,C ,474
1,FRA,THA2  ,GOV   ,50,29,2000,40,Agonus cataphractus,2,16,D ,54.3167,8.1,12,V   ,C ,331
1,SCO,SCO3  ,GOV   ,60,8,2000,4,Agonus cataphractus,1,27,D ,57.1833,0.1833,80,V   ,C ,519
1,GFR,WAH3  ,GOV   ,-9,66,2000,2,Agonus cataphractus,2,21,D ,55.75,4.2833,37,V   ,C ,425
1,SCO,SCO3  ,GOV   ,60,34,2000,2,Agonus cataphractus,2,8,D ,58.3833,-2.75,65,V   ,C ,581
1,SCO,SCO3  ,GOV   ,60,9,2000,2,Agonus cataphractus,1,28,D ,56.75,2.25,73,V   ,C ,489
1,GFR,WAH3  ,GOV   ,-9,89,2000,2,Agonus cataphractus,3,1,D ,55.5667,7.0333,31,V   ,C ,431
1,FRA,THA2  ,GOV   ,50,61,2000,60,Agonus cataphractus,3,2,D ,52.6833,2.3167,43,V   ,C ,217
1,GFR,WAH3  ,GOV   ,-9,63,2000,2,Agonus cataphractus,2,21,N ,56.2833,2.6833,79,V   ,C ,456
1,FRA,THA2  ,GOV   ,50,1,2000,2,Agonus cataphractus,2,8,D ,51.0833,1.8833,23,V   ,C ,114
1,GFR,WAH3  ,GOV   ,-9,51,2000,2,Agonus cataphractus,2,18,N ,57.3333,1.2333,89,V   ,C ,521
1,FRA,THA2  ,GOV   ,50,67,2000,2,Agonus cataphractus,3,3,D ,51.5667,1.75,33,V   ,C ,148
1,GFR,WAH3  ,GOV   ,-9,56,2000,2,Agonus cataphractus,2,19,D ,55.85,0.5,80,V   ,C ,417
1,FRA,THA2  ,GOV   ,50,65,2000,32,Agonus cataphractus,3,3,D ,51.75,1.9167,35,V   ,C ,148
1,SWE,ARG   ,GOV   ,-9,25,2000,2,Agonus cataphractus,2,2,D ,56.4833,11.1,19,V   ,C ,473
1,SCO,SCO3  ,GOV   ,60,12,2000,2,Agonus cataphractus,1,28,N ,57.3833,2.2333,80,V   ,C ,523
1,FRA,THA2  ,GOV   ,50,36,2000,2,Agonus cataphractus,2,17,D ,54.15,5.4667,34,V   ,C ,325
1,SCO,SCO3  ,GOV   ,60,30,2000,12,Agonus cataphractus,2,6,N ,60.15,-1.7167,76,V   ,C ,719
1,SCO,SCO3  ,GOV   ,60,33,2000,2,Agonus cataphractus,2,7,D ,58.85,-1.95,85,V   ,C ,617
1,SCO,SCO3  ,GOV   ,60,5,2000,2,Agonus cataphractus,1,27,D ,56.45,-0.3833,74,V   ,C ,450
1,GFR,WAH3  ,GOV   ,-9,6,2000,2,Agonus cataphractus,1,30,D ,58.6667,2.5,106,V   ,C ,625
1,GFR,WAH3  ,GOV   ,-9,10,2000,2,Agonus cataphractus,1,31,D ,59.2833,2.3,128,V   ,C ,659
1,SCO,SCO3  ,GOV   ,60,17,2000,2,Agonus cataphractus,1,31,N ,57.5,4.05,68,V   ,C ,527
1,FRA,THA2  ,GOV   ,50,16,2001,3,Agonus cataphractus,3,12,D ,54.9167,-0.2167,81,V   ,C ,348
1,FRA,THA2  ,GOV   ,50,56,2001,2,Agonus cataphractus,3,20,D ,52.7833,3.9333,22,V   ,C ,220
1,GFR,WAH3  ,GOV   ,-9,37,2001,2,Agonus cataphractus,2,4,D ,58.9,-2.45,79,V   ,C ,616
1,SCO,SCO3  ,GOV   ,60,38,2001,4,Agonus cataphractus,1,28,N ,59.8853,-1.8547,110,V   ,C ,685
1,SCO,SCO3  ,GOV   ,60,23,2001,2,Agonus cataphractus,1,25,D ,57.471,-0.2998,90,V   ,C ,518
1,SCO,SCO3  ,GOV   ,60,28,2001,2,Agonus cataphractus,1,26,D ,58.0217,-2.9005,54,V   ,C ,581
1,FRA,THA2  ,GOV   ,50,57,2001,2,Agonus cataphractus,3,21,D ,52.6,4.2167,16,V   ,C ,221
1,FRA,THA2  ,GOV   ,50,51,2001,2,Agonus cataphractus,3,19,D ,53.6167,3.8667,33,V   ,C ,288
1,ENG,CIR   ,GOV   ,50,31,2001,6,Agonus cataphractus,2,11,D ,54.25,7.65,41,V   ,C ,330
1,GFR,WAH3  ,GOV   ,-9,36,2001,6,Agonus cataphractus,2,4,D ,58.35,-2.5833,59,V   ,C ,581
1,GFR,WAH3  ,GOV   ,-9,56,2001,6,Agonus cataphractus,2,11,D ,56.1333,0.4833,86,V   ,C ,451
1,SCO,SCO3  ,GOV   ,60,3,2001,6,Agonus cataphractus,1,19,D ,56.5212,-2.1663,50,V   ,C ,480
1,ENG,CIR   ,GOV   ,50,9,2001,18,Agonus cataphractus,2,2,D ,53.9167,0.25,49,V   ,C ,281
1,GFR,WAH3  ,GOV   ,-9,60,2001,2,Agonus cataphractus,2,12,D ,56.25,1.3833,83,V   ,C ,453
1,GFR,WAH3  ,GOV   ,-9,61,2001,2,Agonus cataphractus,2,12,D ,56.2667,2.1667,82,V   ,C ,455
1,GFR,WAH3  ,GOV   ,-9,54,2001,2,Agonus cataphractus,2,10,D ,56.7667,1.4167,95,V   ,C ,487
1,SCO,SCO3  ,GOV   ,60,30,2001,6,Agonus cataphractus,1,26,N ,58.5603,-2.7222,58,V   ,C ,615
1,FRA,THA2  ,GOV   ,50,49,2001,2,Agonus cataphractus,3,19,D ,53.95,5.1833,33,V   ,C ,291
1,FRA,THA2  ,GOV   ,50,6,2001,2,Agonus cataphractus,3,10,D ,52.65,2.3,40,V   ,C ,217
1,SWE,ARG   ,GOV   ,-9,20,2001,6,Agonus cataphractus,1,30,D ,57.4667,8.5833,56,V   ,C ,536
1,FRA,THA2  ,GOV   ,50,13,2001,2,Agonus cataphractus,3,12,D ,54.4333,0.3,62,V   ,C ,315
1,ENG,CIR   ,GOV   ,50,28,2001,2,Agonus cataphractus,2,10,D ,54.6333,5.5333,45,V   ,C ,360
1,SCO,SCO3  ,GOV   ,60,53,2001,2,Agonus cataphractus,2,4,D ,57.608,1.0538,95,V   ,C ,555
1,GFR,WAH3  ,GOV   ,-9,35,2001,32,Agonus cataphractus,2,4,D ,58.1667,-3.1667,69,V   ,C ,580
1,FRA,THA2  ,GOV   ,50,46,2001,2,Agonus cataphractus,3,18,D ,53.8833,6.9333,17,V   ,C ,294
1,FRA,THA2  ,GOV   ,50,48,2001,4,Agonus cataphractus,3,19,D ,54.1667,5.5167,34,V   ,C ,326
1,FRA,THA2  ,GOV   ,50,7,2001,46,Agonus cataphractus,3,10,D ,53.45,1.0667,42,V   ,C ,249
1,FRA,THA2  ,GOV   ,50,8,2001,52,Agonus cataphractus,3,11,D ,53.45,0.75,17,V   ,C ,248
1,GFR,WAH3  ,GOV   ,-9,70,2001,2,Agonus cataphractus,2,14,D ,54.8167,6.6,42,V   ,C ,362
1,ENG,CIR   ,GOV   ,50,1,2001,6,Agonus cataphractus,1,31,D ,51.7333,1.75,35,V   ,C ,148
1,FRA,THA2  ,GOV   ,50,54,2001,2,Agonus cataphractus,3,20,D ,53.3667,3.1833,22,V   ,C ,253
1,FRA,THA2  ,GOV   ,50,44,2001,52,Agonus cataphractus,3,18,D ,54.0333,7.8,30,V   ,C ,330
1,ENG,CIR   ,GOV   ,50,3,2001,16,Agonus cataphractus,1,31,N ,52.2667,1.8833,31,V   ,C ,182
1,ENG,CIR   ,GOV   ,50,4,2001,2,Agonus cataphractus,2,1,D ,52.5333,1.9333,30,V   ,C ,216
1,FRA,THA2  ,GOV   ,50,4,2001,2,Agonus cataphractus,3,10,D ,52.35,2.0667,34,V   ,C ,183
1,ENG,CIR   ,GOV   ,50,8,2001,2,Agonus cataphractus,2,2,D ,53.4667,0.75,24,V   ,C ,248
1,FRA,THA2  ,GOV   ,50,45,2001,6,Agonus cataphractus,3,18,D ,53.95,7.45,21,V   ,C ,295
1,SCO,SCO3  ,GOV   ,60,26,2001,2,Agonus cataphractus,1,26,D ,57.8565,-2.7565,96,V   ,C ,547
1,FRA,THA2  ,GOV   ,50,9,2001,38,Agonus cataphractus,3,11,D ,53.8333,0.8833,35,V   ,C ,282
1,FRA,THA2  ,GOV   ,50,1,2001,6,Agonus cataphractus,3,9,D ,51.05,1.8667,30,V   ,C ,114
1,GFR,WAH3  ,GOV   ,-9,14,2001,4,Agonus cataphractus,1,25,N ,60.3,2.7,100,V   ,C ,728
1,GFR,WAH3  ,GOV   ,-9,58,2001,2,Agonus cataphractus,2,11,D ,55.7167,1.2333,78,V   ,C ,419
1,ENG,CIR   ,GOV   ,50,32,2001,18,Agonus cataphractus,2,11,D ,54.1667,8.1167,24,V   ,C ,331
1,GFR,WAH3  ,GOV   ,-9,34,2001,10,Agonus cataphractus,2,3,N ,57.85,-3.25,65,V   ,C ,546
1,GFR,WAH3  ,GOV   ,-9,68,2001,4,Agonus cataphractus,2,14,D ,55.1,7.4833,21,V   ,C ,397
