group,subgroup,species,min_depth,max_depth,location,longitude,latitude,survey_min,survey_max,season,ref_id,ref_W_to_E,total.hauls,count,std_min_depth,std_max_depth,std_log_min_depth,std_log_max_depth,BO_sstmean,BO_sstmax,BO_sstmin,BO_sstrange,BO_salinity,BO_chlomean,btemp,min_com_depth,max_com_depth,mean_com_depth,liter_d_range,grossaff,grossaff_range
mollusca,cephalopoda,Abralia veranyi,42,799,spain,1,39,25,800,spr/sum,1,1,1600,5,-90.8,172.2,-0.889198849,0.292609507,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,1,900,450.5,899,23.97,19.5
mollusca,cephalopoda,Abralia veranyi,88,720,S aegean,25.5,37,16,770,spr/sum,11,9,708,5,-44.8,93.2,-0.149531652,0.188499773,19.13529987,24.5348999,15.06430006,9.470600128,39.09529991,0.1573,15.38999863,1,900,450.5,899,23.97,19.5
mollusca,cephalopoda,Abralia veranyi,320,320,levant,34.5,31.9,200,570,aut,12,11,298,5,187.2,-306.8,1.141452529,-0.622430443,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,1,900,450.5,899,23.97,19.5
mollusca,cephalopoda,Abralia veranyi,152,549,adriatic/ionian,18.9,42,10,800,spr/sum,15,7,121,5,19.2,-77.8,0.397012054,-0.082652998,19.07050006,25.95808347,12.95050009,13.00758322,38.51816718,0.342583336,13.80644827,1,900,450.5,899,23.97,19.5
mollusca,cephalopoda,Abralia veranyi,62,746,Ionian,17.5,38.5,10,4000,all,9,6,1841,5,-70.8,119.2,-0.499734082,0.223974161,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,1,900,450.5,899,23.97,19.5
crustacea,malacostraca,Aegaeon lacazei,27,786,spain,1,39,25,800,spr/sum,1,1,1600,3,-61.33333333,80.66666667,-0.781409931,0.118319597,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,50,758,404,708,18.99,14.41
crustacea,malacostraca,Aegaeon lacazei,200,570,levant,34.5,31.9,200,570,aut,12,11,298,3,111.6666667,-135.3333333,1.221070569,-0.203000835,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,50,758,404,708,18.99,14.41
crustacea,malacostraca,Aegaeon lacazei,38,760,corsica,12,41.5,10,760,spr/sum,14,3,46,3,-50.33333333,54.66666667,-0.439660638,0.084681238,19.28058322,25.85475032,13.85058339,12.00416668,37.42674987,0.212500001,14.10588751,50,758,404,708,18.99,14.41
mollusca,cephalopoda,Alloteuthis media,78,613,malta,14.8,35.9,0,687,spr/sum,3,5,86,6,38.83333333,100.04,0.899989222,0.252002814,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,0,674,337,674,17.91,9.41
mollusca,cephalopoda,Alloteuthis media,25,687.76,spain,1,39,25,800,spr/sum,1,1,1600,6,-14.16666667,174.8,-0.237843779,0.367077818,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,0,674,337,674,17.91,9.41
mollusca,cephalopoda,Alloteuthis media,69,189,balearic islands,3.4,40,44,745,spring,10,2,88,6,29.83333333,-323.96,0.7773869,-0.924615107,19.36524995,26.4657499,13.69933343,12.76641671,37.54966609,0.210833332,13.32353926,0,674,337,674,17.91,9.41
