group,subgroup,species,min_depth,max_depth,location,longitude,latitude,survey_min,survey_max,season,ref_id
mollusca,gastropoda,Aporrhais pespelecani,109,109,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Aporrhais serresianus,512,512,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Bolinus brandaris,125,125,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Calliostoma granulatum,76,133,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Crepidula unguiformis,84,131,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Eutheria cornea,361,361,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Fusinus rostratus,79,79,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Fusiturris similis,109,109,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Galeodea echinophora,91,542,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Semicassis granulata,125,125,malta,14.8,35.9,0,687,spr/sum,3
mollusca,gastropoda,Turritella communis,109,109,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Acanthocardia echinata,109,109,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Aequipecten opercularis,77,77,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Anadara gibbosa,125,125,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Anomia ephippium,78,521,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Arca tetragona,84,84,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Irus irus,113,113,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Monia squama,84,109,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Musculus subpictus,77,77,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Palliolum incomparabile,77,77,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Pseudamussium clavatum,113,113,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Venus casina,109,127,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Venus nux,91,125,malta,14.8,35.9,0,687,spr/sum,3
mollusca,bivalvia,Venus verrucosa,110,110,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Eledone cirrhosa,221,541,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Eledone moschata,76,137,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Macrotritopus defilippi,127,475,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Octopus salutii,274,542,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Octopus vulgaris,73,171,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Pteroctopus tetracirrhus,304,620,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Scaeurgus unicirrhus,76,599,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Alloteuthis media,78,613,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Alloteuthis subulata,75,431,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Illex coindetii,75,542,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Rossia macrosoma,521,521,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Sepia elegans,73,304,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Sepia orbignyana,73,455,malta,14.8,35.9,0,687,spr/sum,3
mollusca,cephalopoda,Todaropsis eblanae,75,680,malta,14.8,35.9,0,687,spr/sum,3
crustacea,malacostraca,Aristaeomorpha foliacea,425,687,malta,14.8,35.9,0,687,spr/sum,3
crustacea,malacostraca,Aristeus antennatus,604,687,malta,14.8,35.9,0,687,spr/sum,3
crustacea,malacostraca,Chlorotocus crassicornis,367,604,malta,14.8,35.9,0,687,spr/sum,3
