subgroup,species,habitat,source,notes,further refs
cephalopoda,Eledone cirrhosa,benthic,sealifebase,,
cephalopoda,Eledone moschata,benthic,sealifebase,,
cephalopoda,Octopus salutii,benthic,sealifebase,,
cephalopoda,Octopus vulgaris,benthic,sealifebase,,
cephalopoda,Pteroctopus tetracirrhus,benthic,sealifebase,,
cephalopoda,Scaeurgus unicirrhus,benthic,sealifebase,,
cephalopoda,Alloteuthis media,benthic,sealifebase,,
cephalopoda,Alloteuthis subulata,benthic,sealifebase,,
cephalopoda,Illex coindetii,benthopelagic,sealifebase,classified as pelagic but comes very close to the seabed,"Sánchez, P., A.F. González, P. Jereb, V.V. Laptikhovsky, K.M. Mangold, C.M. Nigmatullin and S. Ragonese 1998 Chapter 4: Illex coindetii. pp. 376:59-76. In P.G. Rodhouse, E.G. Dawe and R.K. O'Dor (eds.) FAO Fisheries Technical Paper: Squid recruitment dynamics. The genus Illex as a model, the commercial Illex species and influences on variability."
cephalopoda,Rossia macrosoma,benthic,sealifebase,,
cephalopoda,Sepia elegans,benthic,sealifebase,,
cephalopoda,Sepia orbignyana,benthic,sealifebase,,
cephalopoda,Todaropsis eblanae,benthopelagic,sealifebase,,
malacostraca,Aristaeomorpha foliacea,benthopelagic,sealifebase,,
malacostraca,Aristeus antennatus,benthic,sealifebase,,
malacostraca,Chlorotocus crassicornis,benthic,sealifebase,,
malacostraca,Macropipus tuberculatus,benthic,sealifebase,,
malacostraca,Parapenaeus longirostris,benthopelagic,sealifebase,,
malacostraca,Melicertus kerathurus,benthic,sealifebase,,
malacostraca,Solenocera membranacea,benthic,sealifebase,,
malacostraca,Alpheus glaber,benthic,sealifebase,,
malacostraca,Bathynectes maravigna,benthic,sealifebase,,
malacostraca,Calappa granulata,benthic,sealifebase,,
malacostraca,Geryon longipes,benthic,sealifebase,,
malacostraca,Goneplax rhomboides,benthic,sealifebase,,
malacostraca,Homola barbata,benthic,sealifebase,,
malacostraca,Latreillia elegans,benthic,other literature,"Porporato, E. M., De Domenico, F., Mangano, M. C., & Spano, N. (2011). Macropodia longirostris and Latreillia elegans (Decapoda, Brachyura) climbing on Mediterranean Pennatulidae (Anthozoa, Octocorallia): a preliminary note. Crustaceana, 84(14), 1777-1780.",
malacostraca,Liocarcinus depurator,benthic,sealifebase,,
malacostraca,Macropodia longipes,benthic,sealifebase,,
malacostraca,Medorippe lanata,benthic,sealifebase,,
malacostraca,Munida intermedia,benthic,sealifebase,,
malacostraca,Nephrops norvegicus,benthic,sealifebase,,
malacostraca,Pagurus alatus,benthic,sealifebase,,
malacostraca,Paromola cuvieri,benthic,sealifebase,,
malacostraca,Pisa armata,benthic,sealifebase,,
malacostraca,Polycheles typhlops,benthic,sealifebase,,
fish,Muraena helena,benthic,fishbase,,
fish,Synchiropus phaeton,benthic,fishbase,,
fish,Synodus saurus,benthic,fishbase,,
fish,Chelidonichthys lastoviza,benthic,fishbase,,
fish,Anthias anthias,benthic,fishbase,,
fish,Argentina sphyraena,benthic,fishbase,,
fish,Arnoglossus laterna,benthic,fishbase,,
fish,Arnoglossus rueppelii,benthic,fishbase,,
fish,Arnoglossus thori,benthic,fishbase,,
fish,Benthocometes robustus,benthic,fishbase,,
fish,Blennius ocellaris,benthic,fishbase,,
fish,Boops boops,benthopelagic,fishbase,,
fish,Callanthias ruber,benthic,fishbase,,
fish,Capros aper,benthic,fishbase,,
fish,Cepola macrophthalma,benthic,fishbase,,
fish,Chelidonichthys cuculus,benthic,fishbase,,
fish,Chelidonichthys lucerna,benthic,fishbase,,
fish,Chlorophthalmus agassizi,benthic,fishbase,,
fish,Citharus linguatula,benthic,fishbase,,
fish,Conger conger,benthic,fishbase,,
fish,Coris julis,benthopelagic,fishbase,,
fish,Dactylopterus volitans,benthic,fishbase,,
fish,Deltentosteus quadrimaculatus,benthic,fishbase,,
fish,Echelus myrus,benthic,fishbase,,
fish,Epigonus denticulatus,benthic,fishbase,,
fish,Eutrigla gurnardus,benthic,fishbase,,
fish,Gaidropsarus mediterraneus,benthic,fishbase,,
fish,Glossanodon leioglossus,benthic,fishbase,,
fish,Gnathophis mystax,benthic,fishbase,,
fish,Helicolenus dactylopterus,benthic,fishbase,,
fish,Lepidorhombus boscii,benthic,fishbase,,
fish,Lepidorhombus whiffiagonis,benthic,fishbase,,
fish,Lepidotrigla cavillone,benthic,fishbase,,
fish,Lepidotrigla dieuzeidei,benthic,fishbase,,
fish,Lesueurigobius suerii,benthic,fishbase,,
fish,Lophius budegassa,benthic,fishbase,,
fish,Lophius piscatorius,benthic,fishbase,,
fish,Macroramphosus scolopax,benthopelagic,fishbase,,
fish,Merluccius merluccius,benthopelagic,fishbase,,
fish,Microchirus variegatus,benthic,fishbase,,
fish,Molva dypterygia,benthic,fishbase,,
fish,Mullus barbatus,benthic,fishbase,,
fish,Mullus surmuletus,benthic,fishbase,,
fish,Nettastoma melanurum,benthic,fishbase,,
fish,Peristedion cataphractum,benthic,fishbase,,
fish,Sardinella aurita,pelagic,fishbase,,
fish,Scorpaena elongata,benthic,fishbase,,
fish,Scorpaena notata,benthic,fishbase,,
fish,Scorpaena porcus,benthic,fishbase,,
fish,Scorpaena scrofa,benthic,fishbase,,
fish,Serranus cabrilla,benthopelagic,fishbase,,
fish,Serranus hepatus,benthopelagic,fishbase,,
fish,Sphoeroides pachygaster,benthopelagic,fishbase,,
fish,Symphurus nigrescens,benthic,fishbase,,
fish,Trachinus draco,benthic,fishbase,,
fish,Trigla lyra,benthic,fishbase,,
fish,Uranoscopus scaber,benthic,fishbase,,
fish,Centrophorus granulosus,benthic,fishbase,,
fish,Dalatias licha,benthopelagic,fishbase,,
fish,Dasyatis pastinaca,benthic,fishbase,,
fish,Dipturus oxyrinchus,benthic,fishbase,,
fish,Etmopterus spinax,benthic,fishbase,,
fish,Galeus melastomus,benthic,fishbase,,
fish,Heptranchias perlo,benthic,fishbase,,
fish,Mustelus asterias,benthic,fishbase,,
fish,Mustelus mustelus,benthic,fishbase,,
fish,Oxynotus centrina,benthic,fishbase,,
fish,Raja clavata,benthic,fishbase,,
fish,Raja miraletus,benthic,fishbase,,
fish,Raja montagui,benthic,fishbase,,
fish,Raja radula,benthic,fishbase,,
fish,Scyliorhinus canicula,benthopelagic,fishbase,,
fish,Squalus blainville,benthic,fishbase,,
fish,Torpedo marmorata,benthic,fishbase,,
fish,Chimaera monstrosa,benthic,fishbase,,
fish,Pagellus bogaraveo,benthopelagic,fishbase,,
fish,Spicara smaris,benthopelagic,fishbase,,
malacostraca,Plesionika heterocarpus,benthic,sealifebase,,
malacostraca,Aegaeon lacazei,benthic,sealifebase,,
malacostraca,Dardanus arrosor,benthic,sealifebase,,
malacostraca,Maja squinado,benthic,sealifebase,,
malacostraca,Palinurus elephas,benthic,sealifebase,,
malacostraca,Pasiphaea multidentata,pelagic,sealifebase,bathypelagic,
malacostraca,Pasiphaea sivado,benthopelagic,sealifebase,benthopelagic (Aguzzi et al 2007) or mesopelagic (Cartes et al. 2007). diel vertical migrations.,
malacostraca,Philocheras echinulatus,benthic,sealifebase,,
malacostraca,Plesionika acanthonotus,benthic,sealifebase,,
malacostraca,Plesionika antigai,benthic,sealifebase,,
malacostraca,Plesionika edwardsii,benthic,sealifebase,,
malacostraca,Plesionika gigliolii,benthic,sealifebase,,
malacostraca,Plesionika martia,benthopelagic,sealifebase,,
malacostraca,Plesionika narval,benthic,sealifebase,,
malacostraca,Pontophilus spinosus,benthic,sealifebase,"Benthic (Abello et al, 1988) Benthopelagic (Ingrand 1937). ",
malacostraca,Processa canaliculata,benthic,sealifebase,,
malacostraca,Scyllarides latus,benthic,sealifebase,,
fish,Alosa fallax,pelagic,fishbase,,
fish,Argyropelecus hemigymnus,pelagic,fishbase,,
fish,Aulopus filamentosus,benthic,fishbase,,
fish,Bathophilus nigerrimus,pelagic,fishbase,,
fish,Bothus podas,benthic,fishbase,,
fish,Callionymus lyra,benthic,fishbase,,
fish,Callionymus maculatus,benthic,fishbase,,
fish,Callionymus pusillus,benthic,fishbase,,
fish,Callionymus risso,benthic,fishbase,,
fish,Carapus acus,benthic,fishbase,,
fish,Centracanthus cirrus,benthopelagic,fishbase,,
fish,Centrolophus niger,pelagic,fishbase,,
fish,Chauliodus sloani,pelagic,fishbase,,
fish,Chelidonichthys obscurus,benthic,fishbase,,
fish,Coelorinchus caelorhincus,benthopelagic,fishbase,,
fish,Dentex dentex,benthopelagic,fishbase,,
fish,Dentex maroccanus,benthic,fishbase,,
fish,Dicentrarchus labrax,benthic,fishbase,,
fish,Diplodus annularis,benthopelagic,fishbase,,
fish,Diplodus puntazzo,benthopelagic,fishbase,,
fish,Diplodus sargus,benthic,fishbase,,
fish,Diplodus vulgaris,benthopelagic,fishbase,,
fish,Dysomma brevirostre,benthopelagic,fishbase,,
fish,Echiodon dentatus,benthic,fishbase,,
fish,Electrona risso,pelagic,fishbase,,
fish,Engraulis encrasicolus,pelagic,fishbase,,
fish,Epigonus constanciae,benthopelagic,fishbase,,
fish,Gadiculus argenteus,benthopelagic,fishbase,"Occurs mainly above mud and sandy bottoms, although written as pelagic-neritic",
fish,Gaidropsarus biscayensis,benthopelagic,fishbase,,
fish,Gobius geniporus,benthic,fishbase,,
fish,Gobius niger,benthic,fishbase,,
fish,Hippocampus hippocampus,benthic,fishbase,,
fish,Hoplostethus mediterraneus,benthopelagic,fishbase,"This species is reported to be pelagic in Maul, 1990 (Ref. 3583); however, Schneider, 1990 (Ref. 2683) indicates the species is demersal. Found over muddy bottom (Ref. 26999).",
fish,Hygophum benoiti,pelagic,fishbase,,
fish,Hymenocephalus italicus,benthopelagic,fishbase,,
fish,Ichthyococcus ovatus,pelagic,fishbase,,
fish,Lampanyctus crocodilus,pelagic,fishbase,,
fish,Lepidopus caudatus,benthopelagic,fishbase,,
fish,Lesueurigobius friesii,benthic,fishbase,,
fish,Lithognathus mormyrus,benthic,fishbase,,
fish,Lobianchia gemellarii,pelagic,fishbase,,
fish,Maurolicus muelleri,pelagic,fishbase,,
fish,Microchirus ocellatus,benthic,fishbase,,
fish,Micromesistius poutassou,benthic,other literature,,
fish,Monochirus hispidus,benthic,other literature,,
fish,Mora moro,benthopelagic,other literature,,"Cohen, D.M., T. Inada, T. Iwamoto and N. Scialabba, 1990. FAO species catalogue. Vol. 10. Gadiform fishes of the world (Order Gadiformes). An annotated and illustrated catalogue of cods, hakes, grenadiers and other gadiform fishes known to date. FAO Fish. Synop. 125(10). Rome: FAO. 442 p."
fish,Mugil cephalus,benthopelagic,fishbase,,
fish,Nansenia oblita,pelagic,fishbase,,
fish,Nemichthys scolopaceus,pelagic,fishbase,,
fish,Nezumia sclerorhynchus,benthopelagic,other literature,,"Cohen, D.M., T. Inada, T. Iwamoto and N. Scialabba, 1990. FAO species catalogue. Vol. 10. Gadiform fishes of the world (Order Gadiformes). An annotated and illustrated catalogue of cods, hakes, grenadiers and other gadiform fishes known to date. FAO Fish. Synop. 125(10). Rome: FAO. 442 p."
fish,Notoscopelus elongatus,pelagic,fishbase,,
fish,Ophichthus rufus,benthic,fishbase,,
fish,Ophidion barbatum,benthic,fishbase,,
fish,Ophisurus serpens,benthic,fishbase,,
fish,Pagellus acarne,benthopelagic,fishbase,,
fish,Pagellus erythrinus,benthopelagic,fishbase,,
fish,Pagrus pagrus,benthopelagic,fishbase,,
fish,Phycis blennoides,benthopelagic,fishbase,,
fish,Phycis phycis,benthopelagic,fishbase,,
fish,Sardina pilchardus,pelagic,fishbase,,
fish,Schedophilus ovalis,benthopelagic,fishbase,,
fish,Sciaena umbra,benthopelagic,fishbase,,
fish,Scomber japonicus,benthopelagic,fishbase,Classified as pelagic but demersal during day time,
fish,Scomber scombrus,pelagic,fishbase,,
fish,Scorpaena loppei,benthic,fishbase,,
fish,Seriola dumerili,benthopelagic,fishbase,classified as reef-associated,
fish,Solea solea,benthic,fishbase,,
fish,Sparus aurata,benthic,fishbase,,
fish,Sphyraena sphyraena,pelagic,fishbase,although easily classified as benthopelagic,
fish,Spicara maena,benthopelagic,fishbase,Classified as pelagic but highly common over Posidonia beds,
fish,Stomias boa,pelagic,fishbase,,
fish,Stromateus fiatola,benthopelagic,fishbase,,
fish,Trachinus radiatus,benthic,fishbase,,
fish,Trachurus mediterraneus,benthopelagic,fishbase,"Adults are found usually near the bottom, at times also in surface waters; pelagic and migratory in large schools. They feed on other fishes especially sardines, anchovies, etc. and small crustaceans (Ref. 4233). Eggs are pelagic (Ref. 4233).",
fish,Trachurus picturatus,benthopelagic,fishbase,,
fish,Trachurus trachurus,pelagic,fishbase,,
fish,Trisopterus minutus,benthopelagic,fishbase,,
fish,Zeus faber,benthopelagic,fishbase,,
fish,Myliobatis aquila,benthopelagic,fishbase,,
fish,Raja asterias,benthic,fishbase,,
fish,Squalus acanthias,benthopelagic,fishbase,,
cephalopoda,Abralia veranyi,benthopelagic,sealifebase,Vertical daily migrations,
cephalopoda,Ancistroteuthis lichtensteinii,benthic,sealifebase,,
cephalopoda,Brachioteuthis riisei,pelagic,sealifebase,,
cephalopoda,Heteroteuthis dispar,benthopelagic,sealifebase,,
cephalopoda,Histioteuthis bonnellii,pelagic,sealifebase,,
cephalopoda,Histioteuthis reversa,pelagic,sealifebase,,
cephalopoda,Loligo forbesii,benthic,sealifebase,,
cephalopoda,Loligo vulgaris,benthopelagic,sealifebase,,
cephalopoda,Neorossia caroli,benthic,sealifebase,,
cephalopoda,Octopus macropus,benthic,sealifebase,,
cephalopoda,Onychoteuthis banksii,pelagic,sealifebase,,
cephalopoda,Rondeletiola minor,benthopelagic,sealifebase,,
cephalopoda,Sepia officinalis,benthic,sealifebase,,
cephalopoda,Sepietta neglecta,benthic,sealifebase,,
cephalopoda,Sepietta oweniana,benthopelagic,sealifebase,,
cephalopoda,Sepiola intermedia,benthopelagic,sealifebase,,
cephalopoda,Sepiola ligulata,benthic,sealifebase,,
cephalopoda,Sepiola robusta,benthic,sealifebase,,
cephalopoda,Todarodes sagittatus,benthopelagic,sealifebase,,
fish,Ariosoma balearicum,benthic,fishbase,"Found on the shelf, littoral, burrowing in galleries on sandy mud bottoms. Carnivorous. (Ref. 6521).",
fish,Arnoglossus kessleri,benthic,fishbase,,
fish,Diaphus rafinesquii,pelagic,fishbase,,
fish,Epinephelus aeneus,benthic,fishbase,,
cephalopoda,Pyroteuthis margaritifera,benthopelagic,sealifebase,Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults (Ref. 833).,
